sepal_length,sepal_width,petal_length, petal_width,class
-1.622253692,-1.738952704,-1.393469855,-1.177558826,iris_setosa
0.793012351,0.336720285,0.760211862,1.050019071,iris_virginica
-1.259963786,-0.124540379,-1.33679402,-1.439626813,iris_setosa
-1.259963786,0.797980949,-1.223442351,-1.308592819,iris_setosa
1.034538955,0.567350617,1.10026687,1.705189041,iris_virginica
0.068432538,-0.124540379,0.760211862,0.787951084,iris_virginica
-1.139200483,-1.508322372,-0.259953162,-0.260320868,iris_versicolor
0.672249049,0.336720285,0.420156854,0.394849102,iris_versicolor
1.276065559,0.106089953,0.760211862,1.443121053,iris_virginica
0.672249049,-0.585801043,1.043591036,1.312087059,iris_virginica
-1.018437181,0.797980949,-1.280118186,-1.308592819,iris_setosa
0.430722444,0.797980949,0.930239366,1.443121053,iris_virginica
0.430722444,-1.969583036,0.420156854,0.394849102,iris_versicolor
-0.897673879,0.797980949,-1.280118186,-1.308592819,iris_setosa
-0.173094066,-0.355170711,0.25012935,0.132781114,iris_versicolor
0.793012351,-0.124540379,1.156942705,1.312087059,iris_virginica
0.551485746,-1.27769204,0.646860193,0.394849102,iris_versicolor
0.672249049,0.106089953,0.986915201,0.787951084,iris_virginica
-0.897673879,1.720502277,-1.053414847,-1.046524832,iris_setosa
0.18919584,-1.969583036,0.136777681,-0.260320868,iris_versicolor
-0.173094066,-0.585801043,0.193453516,0.132781114,iris_versicolor
0.309959142,-0.355170711,0.533508524,0.263815108,iris_versicolor
-1.50149039,0.106089953,-1.280118186,-1.308592819,iris_setosa
1.034538955,0.106089953,1.043591036,1.574155047,iris_virginica
-1.139200483,-1.27769204,0.420156854,0.65691709,iris_virginica
-1.50149039,1.259241613,-1.563497359,-1.308592819,iris_setosa
1.396828861,0.336720285,0.533508524,0.263815108,iris_versicolor
